Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2005,1,10,Andrew Bynum,C,LAL,St. Joseph High School (New Jersey),418,319,25.6,11.54,8.24,4.59,0.556,0.02,0,0.111,3.42,2.36,0.69,7.71,5.3,2.41,1.17,1.54,0.32,1.57,2.46
2005,1,11,Fran Vazquez,FC,ORL,Unicaja Malaga (Spain),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,12,Yaroslav Korolev,F,LAC,CSKA Moscow (Russia),34,0,4.9,1.15,1.35,0.38,0.283,0.35,0.09,0.25,0.47,0.29,0.625,0.47,0.29,0.18,0.38,0.21,0.18,0,0.32
2005,1,13,Sean May,PF,CHA,North Carolina,119,25,15.7,6.9,5.95,2.72,0.458,0.11,0.03,0.231,1.92,1.43,0.746,4.04,2.74,1.3,0.97,1.13,0.45,0.39,1.98
2005,1,14,Rashad McCants,G,MIN,North Carolina,249,39,20.2,9.96,8.61,3.71,0.431,3.18,1.17,0.368,1.85,1.37,0.741,2.03,1.57,0.46,1.33,1.45,0.73,0.24,2.35
2005,1,15,Antoine Wright,GF,NJN,Texas A&M;,297,96,19.2,5.43,5.05,2.08,0.412,1.72,0.52,0.304,1.12,0.76,0.674,2.29,1.76,0.53,0.99,0.76,0.47,0.24,2.01
2005,1,16,Joey Graham,G,TOR,Oklahoma State,377,84,16.2,5.94,4.71,2.27,0.483,0.48,0.14,0.3,1.53,1.25,0.815,2.81,2.08,0.72,0.55,0.82,0.36,0.11,2.13
2005,1,17,Danny Granger,GF,IND,New Mexico,586,431,31.5,16.82,13.09,5.69,0.434,4.51,1.72,0.38,4.4,3.73,0.848,4.93,3.78,1.15,1.87,1.87,0.96,0.82,2.78
2005,1,18,Gerald Green,GF,BOS,Gulf Shores Academy (Texas),544,116,19.5,9.63,8.38,3.52,0.42,3.55,1.28,0.361,1.62,1.32,0.814,2.44,1.93,0.5,0.97,1.17,0.51,0.29,1.87
2005,1,19,Hakim Warrick,F,MEM,Syracuse,526,109,20.2,9.4,6.9,3.38,0.49,0.21,0.04,0.191,3.6,2.61,0.726,4.02,2.71,1.32,0.76,1.19,0.41,0.29,1.84
